Positive: [-0.063789, 0.177659, 0.433554, 0.116623, 0.203744, -0.248262, 0.041168, 0.470239, -0.161463, -0.722108, 0.327687, -0.491276, 0.420919, 0.381750, -0.038553, -0.155323, 0.419435, -0.168034, -0.147041, -0.220289, -0.033336, -0.392471, -0.204734, -0.197780, 0.134761, 0.202520, 0.332825, 0.010550, -0.018136, -0.230336, 0.754221, 0.017427, -0.258938, -0.287928, 0.009911, -0.085880, 0.136042, -0.114596, -0.026347, -0.304541, -0.345928, -0.264114, 0.018724, 0.216892, 0.129355, -0.124079, -0.302123, 0.029414, -0.262913, 0.159036, 0.080881, -0.170336, -0.385715, 0.205040, -0.288815, -0.172955, 0.072888, -0.184347, -0.248160, -0.077814, 0.191496, 0.193942, 0.193746, 0.152515, -0.088015, 0.094316, 0.024956, 0.215941, 0.073169, -0.019939, 0.257816, 0.434947, -0.007397, 0.089569, 0.400243, 0.237071, -0.009880, 0.046567, -0.380155, 0.042717, -0.143645, -0.124558, 0.292143, 0.091600, 0.480899, 0.286692, 0.404304, 0.042134, 0.097432, 0.155966, 0.497087, 0.103250, -0.115898, 0.425546, 0.076683, 0.293256, 0.014198, -0.172942, 0.073563, 0.112368]
Positive: [-0.049466, 0.104560, 0.162539, 0.043288, 0.301156, -0.269156, 0.160383, 0.248322, -0.111112, -0.155013, 0.053198, -0.394808, 0.260692, 0.579959, -0.023252, -0.133243, 0.257835, 0.200423, -0.148455, -0.217317, 0.123444, -0.218452, -0.026729, -0.127184, 0.048665, 0.077755, 0.520238, 0.082360, -0.307645, -0.183485, 0.435283, -0.013447, -0.258008, -0.221418, -0.016188, 0.051520, 0.139280, -0.140522, -0.000798, -0.224731, -0.226806, -0.012866, -0.301406, 0.058538, 0.332761, -0.153148, -0.190442, -0.040876, -0.193569, -0.182293, 0.003010, -0.278732, -0.314269, 0.313387, -0.313452, -0.149185, 0.052374, -0.475197, -0.262387, -0.087135, 0.216668, -0.061621, 0.402382, -0.047678, -0.164177, 0.140606, 0.047285, 0.175807, 0.022860, -0.070294, 0.103416, 0.187133, -0.263120, 0.102591, 0.268416, 0.389190, -0.067385, 0.183193, -0.207557, -0.363581, 0.016902, -0.086390, 0.300490, -0.160605, 0.331914, 0.052838, 0.351486, 0.046578, 0.233908, -0.203659, 0.256802, 0.244609, -0.064077, 0.144028, 0.007720, 0.214234, -0.128398, 0.031124, 0.266949, 0.303434]
Positive: [0.024406, 0.021242, 0.318842, 0.048030, 0.245143, -0.316124, 0.053309, 0.459984, -0.119395, -0.553264, 0.300338, -0.442334, 0.382105, 0.445782, -0.084642, -0.074396, 0.401196, -0.067177, -0.098031, -0.257280, 0.033906, -0.409775, -0.184403, -0.228288, 0.121360, 0.149038, 0.473459, 0.018667, -0.007815, -0.216013, 0.769546, 0.057872, -0.147286, -0.226828, 0.029643, -0.124826, 0.129805, -0.214922, -0.049176, -0.346562, -0.335410, -0.202542, 0.022161, 0.171880, 0.188851, -0.142194, -0.306974, 0.070331, -0.261313, 0.044407, 0.005929, -0.106300, -0.391293, 0.272662, -0.310273, -0.095548, 0.070716, -0.218181, -0.148665, 0.010307, 0.255071, 0.161909, 0.237031, 0.174437, -0.121115, 0.147886, 0.007797, 0.258139, 0.059709, -0.016509, 0.190496, 0.320487, -0.123722, 0.110974, 0.392843, 0.184389, -0.004743, 0.048091, -0.386662, -0.103271, -0.058819, -0.033213, 0.269593, 0.105068, 0.541823, 0.320326, 0.410898, 0.013897, 0.172098, 0.066920, 0.469410, 0.102533, -0.169850, 0.443646, -0.011180, 0.264678, -0.047104, -0.172302, 0.149993, 0.154643]
Positive: [0.002423, -0.083760, 0.043707, 0.114650, 0.271486, -0.313782, 0.208179, 0.429283, 0.054215, -0.330401, 0.294891, -0.335474, 0.246300, 0.436091, -0.035561, -0.068739, 0.349959, 0.104352, -0.000377, -0.236982, -0.054312, -0.255330, -0.216959, -0.037666, 0.167892, -0.055794, 0.385843, 0.001341, -0.023633, -0.342114, 0.593550, -0.022779, -0.074371, -0.140838, 0.039113, -0.117624, 0.358822, -0.291247, -0.101769, -0.238151, -0.139066, -0.153580, -0.154185, 0.017094, 0.254407, -0.190136, -0.294040, -0.004587, -0.140951, -0.027742, -0.045778, -0.160231, -0.396267, 0.266340, -0.256737, -0.013420, 0.235066, -0.266465, -0.091213, 0.087687, 0.174498, 0.111639, 0.443594, 0.116376, -0.096099, 0.304022, -0.090026, 0.140433, 0.038109, -0.171443, 0.148467, 0.204339, -0.117589, 0.100705, 0.366179, 0.118892, -0.120199, 0.195699, -0.415595, -0.285271, -0.070521, -0.042360, 0.247776, 0.173892, 0.416329, 0.256584, 0.382102, -0.050206, 0.035267, -0.000325, 0.323299, 0.223430, -0.226025, 0.368350, 0.298068, 0.238864, 0.024405, -0.171976, -0.005958, 0.206472]
Positive: [0.007429, 0.179829, 0.462697, 0.100094, 0.201778, -0.210293, 0.003487, 0.453940, -0.213839, -0.577807, 0.310363, -0.444772, 0.331813, 0.294671, -0.096028, -0.072587, 0.415119, -0.118301, -0.169275, -0.219458, -0.001809, -0.363857, -0.089552, -0.239828, 0.052625, 0.284787, 0.236708, 0.019715, 0.054149, -0.093889, 0.680154, -0.052509, -0.156242, -0.251085, -0.068057, -0.016846, 0.032646, -0.047013, -0.048346, -0.278987, -0.270362, -0.169120, 0.105721, 0.287733, 0.031798, -0.039670, -0.214306, -0.004255, -0.280143, 0.172190, 0.000734, -0.150991, -0.302229, 0.198138, -0.328030, -0.163763, 0.057843, -0.077844, -0.139235, -0.047071, 0.186106, 0.119240, 0.081389, 0.203215, -0.143632, 0.057455, 0.069248, 0.269928, 0.036693, 0.040673, 0.175721, 0.428014, -0.006541, 0.114002, 0.337745, 0.181926, -0.032850, 0.077122, -0.338692, 0.078348, -0.136267, -0.062291, 0.248502, 0.093458, 0.401173, 0.284536, 0.370686, 0.002067, 0.071082, 0.103850, 0.398548, -0.003603, -0.121351, 0.352096, -0.020723, 0.213426, 0.000648, -0.133122, 0.112444, 0.177760]
Positive: [-0.047769, -0.117000, 0.024998, 0.005857, 0.272859, -0.316441, 0.254390, 0.443342, -0.036158, -0.318354, 0.218867, -0.280098, 0.363512, 0.465674, -0.076644, -0.163108, 0.356824, 0.105061, -0.094883, -0.194521, 0.082999, -0.288214, -0.265642, -0.212323, 0.146394, 0.047769, 0.519680, 0.041091, -0.191508, -0.244874, 0.578014, -0.045049, -0.107123, -0.103162, 0.105800, -0.046445, 0.210758, -0.115772, -0.106007, -0.244852, -0.251412, -0.139460, -0.303750, 0.107743, 0.388743, -0.112382, -0.129252, 0.075474, -0.455350, -0.132900, -0.110768, -0.232052, -0.514898, 0.302185, -0.321050, -0.066760, 0.139651, -0.397211, -0.171071, 0.072325, 0.178515, 0.080272, 0.401385, 0.068454, -0.052037, 0.254965, 0.060235, 0.236918, 0.085708, -0.091864, 0.164108, 0.239589, -0.203498, 0.043830, 0.389180, 0.206415, -0.177524, 0.154897, -0.422172, -0.225672, 0.131345, -0.065939, 0.326265, 0.025852, 0.501887, 0.189338, 0.403964, -0.012982, 0.096340, -0.104639, 0.294615, 0.332211, -0.067417, 0.348835, 0.193988, 0.157861, 0.058795, -0.122907, 0.178467, 0.246836]
Positive: [0.084515, 0.073052, 0.322382, 0.035206, 0.180558, -0.244397, 0.049462, 0.218163, -0.085617, -0.134824, 0.016269, -0.287143, 0.300698, 0.493524, 0.007436, -0.079826, 0.369258, -0.009158, -0.155368, -0.328641, 0.208009, -0.111238, -0.106308, -0.281525, -0.105670, 0.198240, 0.517556, 0.093302, -0.195934, 0.014605, 0.442649, -0.123987, -0.192278, -0.193102, -0.076704, 0.102007, 0.031967, -0.139313, -0.032203, -0.304815, -0.151476, -0.047184, -0.113486, 0.192306, 0.261496, -0.187791, -0.229688, -0.063528, -0.158417, -0.144701, -0.135688, -0.242092, -0.287412, 0.353609, -0.319362, -0.013474, 0.073493, -0.296867, -0.079721, 0.027763, 0.197517, -0.068814, 0.315997, -0.002699, -0.240760, 0.165460, 0.046057, 0.202846, 0.025328, -0.039956, 0.050072, 0.128083, -0.245551, 0.112772, 0.251154, 0.357763, 0.027788, 0.206793, -0.252225, -0.370891, -0.012481, 0.002359, 0.232776, -0.065208, 0.358997, 0.178967, 0.170849, -0.008160, 0.174964, -0.121088, 0.257397, 0.095258, -0.096336, 0.158574, -0.204183, 0.059322, -0.136267, 0.073830, 0.393827, 0.282285]
Positive: [-0.068463, 0.107675, 0.448201, 0.021979, 0.230085, -0.302941, 0.052246, 0.469808, -0.174756, -0.811871, 0.376015, -0.576260, 0.541068, 0.324246, -0.216620, -0.190349, 0.483134, -0.195746, -0.070925, -0.207466, 0.018799, -0.495755, -0.235447, -0.214730, 0.287888, 0.289037, 0.385063, 0.088176, -0.005984, -0.236416, 0.893955, 0.214938, -0.344191, -0.250251, 0.065479, -0.039394, 0.038153, -0.115901, -0.071617, -0.409872, -0.360313, -0.263614, 0.002701, 0.221737, 0.190900, -0.073868, -0.193394, 0.109517, -0.485689, 0.133658, 0.039925, -0.151487, -0.401279, 0.162925, -0.387445, -0.183337, -0.030187, -0.162471, -0.366590, -0.029943, 0.364374, 0.169253, 0.154831, 0.308066, -0.005164, -0.035159, 0.081576, 0.365509, 0.090621, 0.210523, 0.273234, 0.556934, -0.082940, 0.039691, 0.412406, 0.241741, -0.124609, 0.020098, -0.465711, 0.186353, -0.011039, -0.105538, 0.291597, 0.101884, 0.577642, 0.373673, 0.562212, 0.103193, 0.170104, 0.148272, 0.682957, 0.056972, -0.111818, 0.547213, -0.053060, 0.342239, -0.012525, -0.238147, 0.088064, 0.082121]
Positive: [-0.103177, 0.011297, 0.142611, -0.046375, 0.332385, -0.210756, 0.145708, 0.260220, -0.059365, -0.161565, 0.111036, -0.309356, 0.118060, 0.364578, -0.093624, 0.033714, 0.139157, 0.308007, -0.141776, -0.181723, 0.088521, -0.120603, -0.054465, -0.074295, 0.059373, 0.211091, 0.498009, -0.001578, -0.103240, -0.109609, 0.415534, -0.078673, -0.009349, -0.059345, -0.052569, 0.112808, 0.150032, -0.080772, -0.242727, -0.356417, -0.205188, 0.160494, -0.217060, -0.021849, 0.309239, -0.079850, -0.163404, 0.036530, -0.254821, -0.182927, -0.096350, -0.237203, -0.286830, 0.223735, -0.324097, -0.091459, 0.000191, -0.310169, -0.183791, -0.109353, 0.227128, 0.109609, 0.311670, 0.037474, -0.066638, 0.231803, -0.015331, 0.195876, 0.059014, -0.095858, 0.084636, 0.300964, -0.180704, 0.128145, 0.219076, 0.167687, 0.035280, 0.079629, -0.267063, -0.367646, 0.090860, -0.065129, 0.234013, -0.130081, 0.449148, 0.198657, 0.380884, 0.012879, 0.026907, -0.211206, 0.277026, 0.216288, -0.131860, 0.345784, -0.013859, 0.239929, -0.214590, -0.100312, 0.085532, 0.327989]
Positive: [0.099875, -0.247603, 0.159216, -0.048962, 0.318378, -0.387805, 0.182933, 0.368349, 0.029493, -0.191927, 0.226216, -0.331064, 0.225203, 0.477289, -0.167491, 0.064234, 0.258873, 0.268532, -0.002053, -0.232325, 0.080379, -0.244196, -0.253189, -0.068752, 0.136776, 0.128290, 0.703354, -0.093227, 0.093599, -0.293474, 0.710548, 0.002039, 0.113086, -0.035796, 0.016099, -0.086775, 0.282093, -0.342547, -0.292886, -0.509050, -0.246435, 0.091296, -0.027144, -0.064886, 0.250936, -0.186788, -0.280878, 0.064923, -0.185919, -0.193571, -0.173907, -0.105380, -0.373432, 0.295748, -0.324498, 0.077438, 0.087712, -0.187780, -0.051628, 0.081544, 0.317676, 0.223938, 0.342365, 0.202056, -0.136105, 0.349476, -0.171044, 0.255775, 0.085195, -0.087886, 0.110815, 0.287138, -0.202656, 0.168938, 0.328722, 0.040064, 0.010484, 0.130358, -0.479014, -0.407399, 0.060385, 0.057995, 0.158140, 0.123560, 0.623165, 0.413456, 0.426346, -0.034992, 0.042943, -0.098867, 0.412260, 0.160425, -0.330058, 0.594541, -0.033440, 0.257221, -0.197433, -0.220631, 0.055131, 0.299448]
